               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  47,            0.080415,            0.062523,            0.053208,              0.4655,             0.49332,             0.48186,             0.23394,            0.067391,            0.034473,            0.051233,            0.057263,           0.0042626,           0.0042626
                  48,            0.082017,            0.061255,            0.053742,             0.51221,             0.52834,             0.51143,             0.25698,            0.066598,            0.032453,            0.049703,            0.056344,           0.0043438,           0.0043438
                  49,            0.078148,            0.062694,            0.052391,             0.51221,             0.52834,             0.51143,             0.25698,            0.066598,            0.032453,            0.049703,            0.055425,           0.0044246,           0.0044246
                  50,             0.07981,             0.06326,             0.05461,             0.45611,             0.71586,             0.52936,             0.29436,            0.065685,            0.030807,            0.048246,            0.054505,            0.004505,            0.004505
                  51,            0.074084,            0.044742,            0.052871,             0.45611,             0.71586,             0.52936,             0.29436,            0.065685,            0.030807,            0.048246,            0.053585,            0.004585,            0.004585
                  52,            0.079795,            0.053775,            0.051856,             0.45611,             0.71586,             0.52936,             0.29436,            0.065685,            0.030807,            0.048246,            0.052665,           0.0046646,           0.0046646
                  53,            0.081146,            0.068068,            0.052468,              0.4836,             0.73684,             0.54387,             0.32262,            0.064957,              0.0307,            0.047744,            0.051744,           0.0047438,           0.0047438
                  54,            0.078175,            0.056146,            0.049151,              0.4836,             0.73684,             0.54387,             0.32262,            0.064957,              0.0307,            0.047744,            0.050823,           0.0048226,           0.0048226
                  55,            0.080015,            0.051258,            0.050817,              0.4836,             0.73684,             0.54387,             0.32262,            0.064957,              0.0307,            0.047744,            0.049901,           0.0049011,           0.0049011
                  56,            0.076423,            0.056635,            0.049685,             0.50036,             0.77028,             0.56384,             0.32373,            0.064107,            0.031873,            0.047497,            0.048979,           0.0049791,           0.0049791
                  57,            0.076224,            0.056351,            0.049404,             0.50036,             0.77028,             0.56384,             0.32373,            0.064107,            0.031873,            0.047497,            0.048057,           0.0050567,           0.0050567
                  58,            0.083718,            0.050731,            0.051356,             0.50036,             0.77028,             0.56384,             0.32373,            0.064107,            0.031873,            0.047497,            0.047134,           0.0051339,           0.0051339
                  59,            0.078797,            0.067969,            0.048371,             0.51704,             0.77733,             0.60184,             0.35752,            0.059984,            0.038391,            0.047397,            0.046211,           0.0052108,           0.0052108
                  60,            0.080158,            0.079799,            0.048193,             0.51704,             0.77733,             0.60184,             0.35752,            0.059984,            0.038391,            0.047397,            0.045287,           0.0052872,           0.0052872
                  61,            0.075926,            0.052481,             0.04732,             0.51704,             0.77733,             0.60184,             0.35752,            0.059984,            0.038391,            0.047397,            0.044363,           0.0053632,           0.0053632
                  62,             0.07828,            0.055597,            0.046866,             0.52405,             0.82458,             0.63597,             0.39488,             0.05652,            0.044375,            0.047904,            0.043439,           0.0054389,           0.0054389
                  63,            0.078958,            0.070626,            0.043758,             0.52405,             0.82458,             0.63597,             0.39488,             0.05652,            0.044375,            0.047904,            0.042514,           0.0055141,           0.0055141
                  64,            0.076424,            0.077279,            0.044789,             0.52405,             0.82458,             0.63597,             0.39488,             0.05652,            0.044375,            0.047904,            0.041589,            0.005589,            0.005589
                  65,            0.073622,            0.054358,            0.043382,             0.58714,             0.85601,               0.636,             0.38165,            0.058915,            0.051466,            0.046877,            0.040663,           0.0056635,           0.0056635
                  66,            0.067212,             0.04387,            0.039373,             0.58714,             0.85601,               0.636,             0.38165,            0.058915,            0.051466,            0.046877,            0.039738,           0.0057375,           0.0057375
                  67,            0.071248,            0.053821,             0.04245,             0.58714,             0.85601,               0.636,             0.38165,            0.058915,            0.051466,            0.046877,            0.038811,           0.0058112,           0.0058112
                  68,            0.070291,            0.040738,            0.042576,             0.48638,              0.7004,             0.64438,             0.35224,            0.055308,            0.047095,            0.043943,            0.037884,           0.0058844,           0.0058844
                  69,            0.073699,             0.06443,            0.041427,             0.48638,              0.7004,             0.64438,             0.35224,            0.055308,            0.047095,            0.043943,            0.036957,           0.0059573,           0.0059573
                  70,            0.069683,            0.056104,            0.039645,             0.48638,              0.7004,             0.64438,             0.35224,            0.055308,            0.047095,            0.043943,             0.03603,           0.0060298,           0.0060298
                  71,            0.070108,            0.050878,            0.040485,             0.43199,             0.67795,             0.64637,             0.32663,            0.056316,            0.048284,            0.042819,            0.035102,           0.0061019,           0.0061019
                  72,            0.064288,            0.045745,            0.038775,             0.43199,             0.67795,             0.64637,             0.32663,            0.056316,            0.048284,            0.042819,            0.034174,           0.0061736,           0.0061736
                  73,            0.071287,            0.054445,            0.040569,             0.43199,             0.67795,             0.64637,             0.32663,            0.056316,            0.048284,            0.042819,            0.033245,           0.0062449,           0.0062449
                  74,            0.069279,             0.04687,            0.038237,             0.39426,             0.83635,             0.58851,             0.25113,            0.053013,            0.049135,            0.041195,            0.032316,           0.0063158,           0.0063158
                  75,            0.067864,              0.0473,            0.039168,             0.39426,             0.83635,             0.58851,             0.25113,            0.053013,            0.049135,            0.041195,            0.031386,           0.0063862,           0.0063862
                  76,            0.063474,             0.03596,            0.036241,             0.39426,             0.83635,             0.58851,             0.25113,            0.053013,            0.049135,            0.041195,            0.030456,           0.0064564,           0.0064564
                  77,            0.064486,            0.044735,            0.038949,             0.37609,             0.73077,             0.60434,             0.23443,            0.058721,            0.053894,            0.039539,            0.029526,           0.0065261,           0.0065261
                  78,            0.065454,            0.043529,            0.034344,             0.37609,             0.73077,             0.60434,             0.23443,            0.058721,            0.053894,            0.039539,            0.028595,           0.0065954,           0.0065954
                  79,            0.071005,            0.051644,            0.034465,             0.37609,             0.73077,             0.60434,             0.23443,            0.058721,            0.053894,            0.039539,            0.027664,           0.0066643,           0.0066643
                  80,            0.062036,             0.04794,            0.035736,             0.31858,             0.84615,             0.48286,             0.19978,            0.061117,            0.058224,            0.037881,            0.026733,           0.0067328,           0.0067328
                  81,             0.06403,            0.034762,            0.036523,             0.31858,             0.84615,             0.48286,             0.19978,            0.061117,            0.058224,            0.037881,            0.025801,           0.0068009,           0.0068009
                  82,             0.06497,            0.046091,            0.033573,             0.31858,             0.84615,             0.48286,             0.19978,            0.061117,            0.058224,            0.037881,            0.024869,           0.0068686,           0.0068686
                  83,            0.064914,            0.041215,            0.035907,             0.32202,             0.74291,             0.50491,             0.15854,            0.066608,            0.059588,            0.036269,            0.023936,            0.006936,            0.006936
                  84,            0.066271,            0.040242,            0.031211,             0.32202,             0.74291,             0.50491,             0.15854,            0.066608,            0.059588,            0.036269,            0.023003,           0.0070029,           0.0070029
                  85,            0.065318,            0.048624,            0.032478,             0.32202,             0.74291,             0.50491,             0.15854,            0.066608,            0.059588,            0.036269,            0.022069,           0.0070694,           0.0070694
                  86,            0.071667,            0.054345,            0.033227,             0.32202,             0.74291,             0.50491,             0.15854,            0.066608,            0.059588,            0.036269,            0.021136,           0.0071356,           0.0071356
                  87,            0.071015,             0.04498,             0.03462,             0.38331,             0.80204,             0.61289,             0.28811,            0.063789,            0.053219,            0.034081,            0.020201,           0.0072013,           0.0072013
                  88,            0.065962,            0.063448,            0.031435,             0.38331,             0.80204,             0.61289,             0.28811,            0.063789,            0.053219,            0.034081,            0.019267,           0.0072667,           0.0072667
                  89,            0.068872,            0.060202,            0.033183,             0.38331,             0.80204,             0.61289,             0.28811,            0.063789,            0.053219,            0.034081,            0.018332,           0.0073316,           0.0073316
                  90,            0.062388,             0.03836,            0.031772,             0.38331,             0.80204,             0.61289,             0.28811,            0.063789,            0.053219,            0.034081,            0.017396,           0.0073962,           0.0073962
                  91,             0.06025,            0.042515,             0.03139,             0.19044,             0.40757,             0.30703,            0.089354,            0.066748,            0.051215,            0.032268,             0.01646,           0.0074604,           0.0074604
                  92,            0.075045,            0.062937,            0.032135,             0.19044,             0.40757,             0.30703,            0.089354,            0.066748,            0.051215,            0.032268,            0.015524,           0.0075241,           0.0075241
                  93,            0.068078,            0.038142,            0.028387,             0.19044,             0.40757,             0.30703,            0.089354,            0.066748,            0.051215,            0.032268,            0.014587,           0.0075875,           0.0075875
                  94,            0.069151,            0.044585,            0.028919,             0.19044,             0.40757,             0.30703,            0.089354,            0.066748,            0.051215,            0.032268,             0.01365,           0.0076505,           0.0076505
                  95,            0.071281,            0.040203,            0.030606,             0.35264,             0.77448,             0.56655,             0.17277,            0.060283,            0.037698,            0.029042,            0.012713,           0.0077131,           0.0077131
                  96,             0.06224,            0.047234,            0.028511,             0.35264,             0.77448,             0.56655,             0.17277,            0.060283,            0.037698,            0.029042,            0.011775,           0.0077752,           0.0077752
                  97,            0.063724,             0.04166,            0.027683,             0.35264,             0.77448,             0.56655,             0.17277,            0.060283,            0.037698,            0.029042,            0.010837,            0.007837,            0.007837
                  98,            0.064969,            0.035312,            0.029745,             0.35264,             0.77448,             0.56655,             0.17277,            0.060283,            0.037698,            0.029042,           0.0098984,           0.0078984,           0.0078984
                  99,            0.065065,            0.039526,              0.0306,             0.31448,             0.90787,             0.67774,              0.1936,            0.060587,            0.032337,            0.027482,           0.0089594,           0.0079594,           0.0079594
                 100,            0.062078,             0.04208,            0.029666,             0.31448,             0.90787,             0.67774,              0.1936,            0.060587,            0.032337,            0.027482,             0.00802,             0.00802,             0.00802
                 101,            0.062642,            0.042993,            0.029459,             0.31448,             0.90787,             0.67774,              0.1936,            0.060587,            0.032337,            0.027482,             0.00802,             0.00802,             0.00802
                 102,            0.073839,            0.050896,             0.02731,             0.31448,             0.90787,             0.67774,              0.1936,            0.060587,            0.032337,            0.027482,           0.0080002,           0.0080002,           0.0080002
                 103,            0.064881,            0.049707,            0.027722,             0.43733,             0.51215,             0.58927,             0.19851,            0.055985,            0.028795,            0.026337,           0.0079804,           0.0079804,           0.0079804
                 104,            0.062872,            0.057433,            0.028849,             0.43733,             0.51215,             0.58927,             0.19851,            0.055985,            0.028795,            0.026337,           0.0079606,           0.0079606,           0.0079606
                 105,            0.056326,            0.035353,            0.026163,             0.43733,             0.51215,             0.58927,             0.19851,            0.055985,            0.028795,            0.026337,           0.0079408,           0.0079408,           0.0079408
                 106,            0.059236,            0.032565,             0.02766,             0.43733,             0.51215,             0.58927,             0.19851,            0.055985,            0.028795,            0.026337,            0.007921,            0.007921,            0.007921
                 107,            0.058152,            0.039425,            0.026241,             0.32499,             0.83198,             0.61757,             0.19242,            0.052228,            0.026266,            0.024776,           0.0079012,           0.0079012,           0.0079012
                 108,            0.057371,             0.03535,            0.030169,             0.32499,             0.83198,             0.61757,             0.19242,            0.052228,            0.026266,            0.024776,           0.0078814,           0.0078814,           0.0078814
                 109,             0.05819,            0.047103,            0.026363,             0.32499,             0.83198,             0.61757,             0.19242,            0.052228,            0.026266,            0.024776,           0.0078616,           0.0078616,           0.0078616
                 110,            0.058783,            0.040218,            0.028435,             0.32499,             0.83198,             0.61757,             0.19242,            0.052228,            0.026266,            0.024776,           0.0078418,           0.0078418,           0.0078418
                 111,            0.061331,            0.037991,            0.027298,             0.32692,             0.65385,             0.50589,             0.14931,            0.051692,            0.024609,             0.02291,            0.007822,            0.007822,            0.007822
                 112,            0.054131,            0.037863,            0.024008,             0.32692,             0.65385,             0.50589,             0.14931,            0.051692,            0.024609,             0.02291,           0.0078022,           0.0078022,           0.0078022
                 113,            0.056188,            0.032795,            0.027256,             0.32692,             0.65385,             0.50589,             0.14931,            0.051692,            0.024609,             0.02291,           0.0077824,           0.0077824,           0.0077824
                 114,            0.059223,              0.0463,            0.026942,             0.32692,             0.65385,             0.50589,             0.14931,            0.051692,            0.024609,             0.02291,           0.0077626,           0.0077626,           0.0077626
                 115,            0.054411,            0.039589,            0.026606,             0.38998,             0.88462,             0.51616,             0.14871,            0.048042,            0.023633,            0.021618,           0.0077428,           0.0077428,           0.0077428
                 116,            0.051012,            0.034165,            0.022888,             0.38998,             0.88462,             0.51616,             0.14871,            0.048042,            0.023633,            0.021618,            0.007723,            0.007723,            0.007723
                 117,            0.055162,            0.049014,            0.024195,             0.38998,             0.88462,             0.51616,             0.14871,            0.048042,            0.023633,            0.021618,           0.0077032,           0.0077032,           0.0077032
                 118,            0.052622,            0.036658,            0.022796,             0.38998,             0.88462,             0.51616,             0.14871,            0.048042,            0.023633,            0.021618,           0.0076834,           0.0076834,           0.0076834
                 119,            0.060842,            0.052685,            0.023923,             0.59459,             0.75506,             0.74634,             0.34485,            0.041925,            0.022524,            0.020315,           0.0076636,           0.0076636,           0.0076636
                 120,            0.055911,            0.039713,            0.027283,             0.59459,             0.75506,             0.74634,             0.34485,            0.041925,            0.022524,            0.020315,           0.0076438,           0.0076438,           0.0076438
